시군구,2014년,2015년,2016년,2017년,2018년
경상북도 경주시,2226443,2307696,2383588,2491163,2588636
경상북도 김천시,1827439,2230807,2306509,2402247,2476930
경상북도 안동시,1548094,1602601,1677885,1743130,1854599
경상북도 구미시,2013697,2079324,2151785,2254743,2351791
경상북도 영주시,1542275,1611387,1681602,1777775,1862650
경상북도 영천시,1880125,1951380,2033291,2119476,2223838
경상북도 상주시,1468303,1532728,1612212,1675194,1749071
경상북도 문경시,1538141,1596410,1645569,1711448,1788218
경상북도 경산시,1815959,1889556,1966078,2040901,2111205
경상북도 군위군,1625835,1681377,1766520,1810069,1865605
경상북도 의성군,1414375,1479595,1559323,1595120,1674522
경상북도 청송군,1355400,1423210,1509916,1535836,1611175
경상북도 영양군,1312937,1373591,1461728,1489354,1570681
경상북도 영덕군,1488603,1537885,1653095,1666975,1731845
경상북도 청도군,1521438,1596175,1664819,1720321,1783680
경상북도 고령군,1833052,1917802,1986325,2073868,2171767
경상북도 성주군,1687244,1778699,1870332,1967949,2048485
경상북도 칠곡군,1841963,1931706,2005893,2092528,2171821
경상북도 예천군,1382769,1448216,1526618,1562969,1674278
경상북도 봉화군,1389818,1433509,1474762,1582532,1656411
경상북도 울진군,1808181,1900126,1925440,1985030,2024425
경상북도 울릉군,1455768,1552002,1622038,1749917,1816841
경상남도 창원시,2103592,2198391,2241985,2331645,2395638
경상남도 진주시,1721372,1962330,2042841,2132078,2207642
경상남도 통영시,1715016,1755639,1778491,1792769,1803966
경상남도 사천시,2030214,2101528,2172172,2251406,2370039
경상남도 김해시,1948827,2027241,2079475,2155938,2221890
경상남도 밀양시,1636063,1707028,1762707,1861562,1960781
경상남도 거제시,2623443,2664891,2673799,2630807,2607185
경상남도 양산시,2058406,2148419,2186850,2222750,2292033
경상남도 의령군,1712310,1777970,1825494,1883378,1970021
경상남도 함안군,2113468,2188482,2258981,2340125,2438629
경상남도 창녕군,1800017,1881357,1965852,2049688,2135205
경상남도 고성군,1761318,1845475,1873295,1920700,2076405
경상남도 남해군,1398172,1443309,1507731,1555007,1649370
경상남도 하동군,1478670,1542596,1590392,1669108,1764796
경상남도 산청군,1461061,1525756,1599081,1688873,1780185
경상남도 함양군,1475940,1544683,1582528,1669689,1740939
경상남도 거창군,1443210,1502863,1592552,1678227,1755211
경상남도 합천군,1405995,1461014,1517939,1599959,1700104
제주특별자치도 제주시,1638462,1730353,1804397,1911227,2015490
제주특별자치도 서귀포시,1602749,1711471,1772913,1880810,1969949
